feature,coefficient,abs_coefficient
categorical__initial_risk_level_Low,-1.542429507009321,1.542429507009321
numeric__latest_attendance_rate,1.452969898424103,1.452969898424103
numeric__latest_nutrition_score,-1.0826676574245182,1.0826676574245182
categorical__initial_risk_level_Critical,1.0412725564512555,1.0412725564512555
numeric__latest_energy_level_score,1.030198291361397,1.030198291361397
categorical__initial_risk_level_High,0.8195510379759943,0.8195510379759943
numeric__high_severity_incidents_90d,-0.6485202136690007,0.6485202136690007
numeric__avg_nutrition_score_90d,0.6067326382473247,0.6067326382473247
numeric__latest_sleep_quality_score,-0.5959420275309584,0.5959420275309584
numeric__plans_total_cumulative,0.4290468441241306,0.4290468441241306
categorical__case_category_Foundling,0.4128949248675905,0.4128949248675905
numeric__avg_attendance_rate_90d,0.3716154129517226,0.3716154129517226
numeric__incident_recent_30d_count,0.3520096647881542,0.3520096647881542
numeric__incident_recent_90d_count,-0.33066608914359696,0.33066608914359696
numeric__visit_avg_family_cooperation_90d,0.3060172601720175,0.3060172601720175
numeric__avg_general_health_score_90d,-0.25730628728394395,0.25730628728394395
categorical__case_category_Neglected,-0.24436534657265419,0.24436534657265419
numeric__process_progress_flags_90d,-0.23730399976260586,0.23730399976260586
numeric__process_recent_90d_count,0.23510621037257604,0.23510621037257604
numeric__visit_follow_up_needed_90d,0.23373134498634948,0.23373134498634948
